country;Implemented;1975;1980;1985;1990;1995;2000;2005;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Australia;2000;-;-;-;-;-;-;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0
Austria;1973;16,0;18,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0
Belgium;1971;18,0;16,0;19,0;19,0;20,5;21,0;21,0;21,0;21,0;21,0;21,0;21,0;21,0;21,0;21,0;21,0;21,0
Canada;1991;-;-;-;-;7,0;7,0;7,0;6,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0
Chile;1975;20,0;20,0;20,0;16,0;18,0;18,0;19,0;19,0;19,0;19,0;19,0;19,0;19,0;19,0;19,0;19,0;19,0
Czech Republic;1993;-;-;-;-;22,0;22,0;19,0;19,0;19,0;19,0;20,0;20,0;20,0;21,0;21,0;21,0;21,0
Denmark;1967;15,0;20,25;22,0;22,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0
Estonia;1991;-;-;-;-;18,0;18,0;18,0;18,0;18,0;18,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0
Finland;1994;-;-;-;-;22,0;22,0;22,0;22,0;22,0;22,0;22,0;23,0;23,0;24,0;24,0;24,0;24,0
France;1968;20,0;17,6;18,6;18,6;20,6;20,6;19,6;19,6;19,6;19,6;19,6;19,6;19,6;19,6;20,0;20,0;20,0
Germany;1968;11,0;13,0;14,0;14,0;15,0;16,0;16,0;19,0;19,0;19,0;19,0;19,0;19,0;19,0;19,0;19,0;19,0
Greece;1987;-;-;-;18,0;18,0;18,0;18,0;19,0;19,0;19,0;19,0;23,0;23,0;23,0;23,0;23,0;23,0
Hungary;1988;-;-;-;25,0;25,0;25,0;25,0;20,0;20,0;20,0;25,0;25,0;27,0;27,0;27,0;27,0;27,0
Iceland;1990;-;-;-;22,0;24,5;24,5;24,5;24,5;24,5;24,5;25,5;25,5;25,5;25,5;25,5;24,0;24,0
Ireland;1972;19,5;20,0;23,0;23,0;21,0;21,0;21,0;21,0;21,0;21,5;21,0;21,0;23,0;23,0;23,0;23,0;23,0
Israel;1976;-;12,0;15,0;15,0;17,0;17,0;17,0;15,5;15,5;15,5;16,0;16,0;16,0;17,0;18,0;18,0;17,0
Italy;1973;12,0;14,0;18,0;19,0;19,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0;21,0;21,0;22,0;22,0;22,0
Japan;1989;-;-;-;3,0;3,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;5,0;8,0;8,0
Korea ;1977;-;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0;10,0
Latvia;1995;-;-;-;-;-;18,0;18,0;18,0;18,0;21,0;21,0;22,0;22,0;21,0;21,0;21,0;21,0
Luxembourg;1970;10,0;10,0;12,0;12,0;15,0;15,0;15,0;15,0;15,0;15,0;15,0;15,0;15,0;15,0;15,0;17,0;17,0
Mexico;1980;-;10,0;15,0;15,0;10,0;15,0;15,0;15,0;15,0;15,0;16,0;16,0;16,0;16,0;16,0;16,0;16,0
Netherlands;1969;16,0;18,0;19,0;18,5;17,5;17,5;19,0;19,0;19,0;19,0;19,0;19,0;19,0;21,0;21,0;21,0;21,0
New Zealand;1986;-;-;-;12,5;12,5;12,5;12,5;12,5;12,5;12,5;12,5;15,0;15,0;15,0;15,0;15,0;15,0
Norway;1970;20,0;20,0;20,0;20,0;23,0;23,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0
Poland ;1993;-;-;-;-;22,0;22,0;22,0;22,0;22,0;22,0;22,0;23,0;23,0;23,0;23,0;23,0;23,0
Portugal;1986;-;-;-;17,0;17,0;17,0;19,0;21,0;21,0;20,0;20,0;23,0;23,0;23,0;23,0;23,0;23,0
Slovak Republic;1993;-;-;-;-;25,0;23,0;19,0;19,0;19,0;19,0;19,0;20,0;20,0;20,0;20,0;20,0;20,0
Slovenia;1999;-;-;-;-;-;19,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0;22,0;22,0;22,0
Spain;1986;-;-;-;12,0;16,0;16,0;16,0;16,0;16,0;16,0;16,0;18,0;18,0;21,0;21,0;21,0;21,0
Sweden;1969;17,7;23,5;23,5;23,5;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0;25,0
Switzerland;1995;-;-;-;-;6,5;7,5;7,6;7,6;7,6;7,6;7,6;8,0;8,0;8,0;8,0;8,0;8,0
Turkey;1985;-;-;10,0;10,0;15,0;17,0;18,0;18,0;18,0;18,0;18,0;18,0;18,0;18,0;18,0;18,0;18,0
United Kingdom;1973;8,0;15;15;15;17,5;17,5;17,5;17,5;17,5;15,0;17,5;20,0;20,0;20,0;20,0;20,0;20,0
