joined;country
1-Jan-1958;Belgium
2-Jan-1958;France
3-Jan-1958;Germany
4-Jan-1958;Italy
5-Jan-1958;Luxembourg
6-Jan-1958;Netherlands
1-Jan-1973;Denmark
2-Jan-1973;Ireland
3-Jan-1973;United Kingdom
1-Jan-1981;Greece
1-Jan-1986;Portugal
2-Jan-1986;Spain
1-Jan-1995;Austria
2-Jan-1995;Finland
3-Jan-1995;Sweden
1-May-2004;Cyprus
2-May-2004;Czech Republic
3-May-2004;Estonia
4-May-2004;Hungary
5-May-2004;Latvia
6-May-2004;Lithuania
7-May-2004;Malta
8-May-2004;Poland
9-May-2004;Slovakia
10-May-2004;Slovenia
1-Jan-2007;Bulgaria
1-Jan-2007;Romania
1-Jul-2013;Croatia
